,train_AUC,valid_AUC,test_maj_AUC,test_min_AUC
0,0.4884155035740597,0.49867543546967474,0.48413323639418715,0.0
1,0.5010239533060061,0.5026360470927761,0.483879305467658,0.0
2,0.49805038113973643,0.492876518980328,0.4943943902617025,0.0
3,0.5003050709951213,0.5038752811239007,0.4974118910791992,0.0
4,0.48334259578672983,0.4918791922619325,0.49854938290279416,0.0
5,0.51078429759638,0.49168628288034516,0.4991658936369107,0.0
6,0.4921349966773233,0.5116350772923729,0.5006490377235739,0.0
7,0.4993399676268679,0.4982125060995276,0.5004932575980203,0.0
8,0.5025612903044852,0.48382245555045567,0.49831912626478175,0.0
9,0.4861182318945064,0.4787130139035372,0.49538890900439486,0.0
